id,description,description_cleaned,source,page
Nepal_Polytechnic_Civil_p100_l8,"41Boring/drilling bore well of required dia for casing / strainer pipe, by suitable method",41boring drilling bore well of required diameter for casing strainer pipe by suitable method,Nepal_Polytechnic_Civil,100
Nepal_Polytechnic_Civil_p100_l12,"42Boring/drilling bore well of required dia for casing / strainer pipe, by suitable method",42boring drilling bore well of required diameter for casing strainer pipe by suitable method,Nepal_Polytechnic_Civil,100
Nepal_Polytechnic_Civil_p101_l1,"PVC medium well casing (CM) pipe of required dia, conforming to IS: 12818, includingrequired hire and labour charges, fittings & accessories etc. all complete, for all depths,as per direction of Engineer-in-charge.100 mm nominal size dia Metre 180",pvc medium well casing centimeter pipe of required diameter conforming to is 12818 includingrequired hire and labour charges fittings accessories etc. all complete for all depths as per direction of engineer in charge.100 millimeter nominal size diameter metre 180,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l3,"PVC medium well screen (RMS) pipes with ribs conforming to IS: 12818, including hireand labour charges, fittings & accessories etc. all complete, for all depths, as perdirection of Engineer-in-charge.100 mm nominal size dia Metre 180",pvc medium well screen rms pipes with ribs conforming to is 12818 including hireand labour charges fittings accessories etc. all complete for all depths as perdirection of engineer in charge.100 millimeter nominal size diameter metre 180,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l7,"maximum rate of usable water yield without sand content (beyond permissible limit), withrequired capacity air compressor, running the compressor for required time till well isfully developed, measuring yield of well by ''V'' notch method or any other approvedmethod, measuring static level & draw down etc. by step draw down method, collectingwater samples & getting tested in approved laboratory, i/c disinfection of tubewell, allcomplete, including hire & labour charges of air compressor, tools & accessories etc., allas per requirement and direction of Engineer-in-Charge.Hour 40",maximum rate of usable water yield without sand content beyond permissible limit withrequired capacity air compressor running the compressor for required time till well isfully developed measuring yield of well by notch method or any other approvedmethod measuring static level draw down etc. by step draw down method collectingwater samples getting tested in approved laboratory disinfection of tubewell allcomplete including hire labour charges of air compressor tools accessories etc. allas per requirement and direction of engineer in charge.hour 40,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l8,47Providing and fixing suitable size threaded mild steel cap or spot welded plate to the top,47providing and fixing suitable size threaded mild steel cap or spot welded plate to the top,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l9,"of bore well housing/ casing pipe, removable as per requirement, all complete forborewell of:150 mm dia each 2",of bore well housing casing pipe removable as per requirement all complete forborewell of 150 millimeter diameter each 2,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l11,"48Supply, installation testing & commissioning of submersible pumping set suitable to",48supply installation testing commissioning of submersible pumping set suitable to,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l12,"operate on 410 volts 3 phase 50 HZ A.C. power supply including water proof joint freecable, motor control panel, 50 mm dia, G.I. pipe (medium class) column with fittings,clamps etc. complete in all respect as per details given below : (For Borewell)",operate on 410 volts 3 phase 50 hz a.c. power supply including water proof joint freecable motor control panel 50 millimeter diameter g.i. pipe medium class column with fittings clamps etc. complete in all respect as per details given below for borewell,Nepal_Polytechnic_Civil,101
Nepal_Polytechnic_Civil_p101_l17,"pumps of closed coupled construction with CI body & cast iron (C.I) impeller connectedto a fully submersible water/oil cooled motor suitable to operate with 380-415 volts 3phase 50 cycles AC power supply with class F insulation and built -in temperatureprotection, pump connector unit with rubber diaphram & bend, vertical discharge pipe,guide pipe, stainless steel chain/rope, water -proof power cable and level controllercomplete in all respects for fixed installation. SUBHEAD-VI-(B) : BORE WELL",pumps of closed coupled construction with ci body cast iron c.i impeller connectedto fully submersible water oil cooled motor suitable to operate with 380 415 volts 3phase 50 cycles asbestos cement power supply with class insulation and built in temperatureprotection pump connector unit with rubber diaphram bend vertical discharge pipe guide pipe stainless steel chain rope water proof power cable and level controllercomplete in all respects for fixed installation. subhead vi bore well,Nepal_Polytechnic_Civil,101
